Date,Winning Numbers,Winning Numbers
"Mon, Dec 13, 1993",['\n\n04\n06\n07\n08\n09\n12\n16\n18\n21\n33\n36\n38\n44\n46\n49\n60\n61\n62\n68\n78\n\n'],   04 06 07 08 09 12 16 18 21 33 36 38 44 46 49 60 61 62 68 78   
"Sun, Dec 12, 1993",['\n\n05\n06\n08\n16\n18\n24\n27\n37\n49\n50\n58\n60\n63\n68\n71\n72\n73\n75\n76\n80\n\n'],   05 06 08 16 18 24 27 37 49 50 58 60 63 68 71 72 73 75 76 80   
"Sat, Dec 11, 1993",['\n\n01\n05\n07\n11\n19\n20\n30\n34\n36\n37\n43\n48\n50\n55\n57\n59\n63\n69\n72\n80\n\n'],   01 05 07 11 19 20 30 34 36 37 43 48 50 55 57 59 63 69 72 80   
"Fri, Dec 10, 1993",['\n\n03\n14\n23\n26\n28\n34\n38\n39\n40\n46\n49\n51\n52\n60\n62\n63\n66\n67\n70\n72\n\n'],   03 14 23 26 28 34 38 39 40 46 49 51 52 60 62 63 66 67 70 72   
"Thu, Dec 09, 1993",['\n\n03\n04\n10\n24\n29\n32\n33\n34\n36\n45\n47\n49\n51\n52\n62\n65\n67\n72\n73\n75\n\n'],   03 04 10 24 29 32 33 34 36 45 47 49 51 52 62 65 67 72 73 75   
"Wed, Dec 08, 1993",['\n\n01\n09\n11\n13\n15\n21\n25\n33\n37\n44\n53\n57\n61\n62\n63\n67\n69\n70\n73\n80\n\n'],   01 09 11 13 15 21 25 33 37 44 53 57 61 62 63 67 69 70 73 80   
"Tue, Dec 07, 1993",['\n\n03\n08\n13\n16\n19\n20\n23\n34\n39\n40\n42\n43\n44\n45\n52\n57\n63\n74\n75\n77\n\n'],   03 08 13 16 19 20 23 34 39 40 42 43 44 45 52 57 63 74 75 77   
"Mon, Dec 06, 1993",['\n\n03\n10\n11\n14\n15\n20\n25\n26\n36\n39\n42\n45\n46\n49\n52\n57\n59\n63\n69\n77\n\n'],   03 10 11 14 15 20 25 26 36 39 42 45 46 49 52 57 59 63 69 77   
"Sun, Dec 05, 1993",['\n\n03\n11\n16\n19\n22\n23\n38\n40\n42\n51\n52\n53\n57\n58\n59\n60\n63\n66\n74\n78\n\n'],   03 11 16 19 22 23 38 40 42 51 52 53 57 58 59 60 63 66 74 78   
"Sat, Dec 04, 1993",['\n\n01\n02\n04\n09\n16\n20\n22\n27\n37\n46\n47\n48\n51\n53\n56\n59\n63\n65\n73\n80\n\n'],   01 02 04 09 16 20 22 27 37 46 47 48 51 53 56 59 63 65 73 80   
"Fri, Dec 03, 1993",['\n\n02\n05\n10\n15\n22\n23\n25\n29\n30\n38\n39\n40\n42\n43\n48\n54\n61\n64\n73\n76\n\n'],   02 05 10 15 22 23 25 29 30 38 39 40 42 43 48 54 61 64 73 76   
